forecast_id,product_id,region,forecast_month,forecast_revenue,forecast_quantity
FCST00002,PROD001,North America,2025-01-01,143001.55,341
FCST00003,PROD001,EMEA,2025-01-01,131736.56,43
FCST00004,PROD001,APAC,2025-01-01,93834.77,214
FCST00005,PROD002,LATAM,2025-01-01,106211.97,212
FCST00006,PROD002,North America,2025-01-01,63221.36,89
FCST00007,PROD002,EMEA,2025-01-01,157142.05,349
FCST00008,PROD002,APAC,2025-01-01,127645.96,275
FCST00009,PROD003,LATAM,2025-01-01,165376.83,233
FCST00010,PROD003,North America,2025-01-01,67768.38,225
FCST00011,PROD003,EMEA,2025-01-01,179356.02,75
FCST00012,PROD003,APAC,2025-01-01,60901.18,188
FCST00013,PROD004,LATAM,2025-01-01,74633.71,91
FCST00014,PROD004,North America,2025-01-01,136218.61,226
FCST00015,PROD004,EMEA,2025-01-01,85198.13,147
FCST00016,PROD004,APAC,2025-01-01,207022.38,76
FCST00017,PROD005,LATAM,2025-01-01,216867.23,313
FCST00018,PROD005,North America,2025-01-01,98685.77,234
FCST00019,PROD005,EMEA,2025-01-01,136202.47,325
FCST00020,PROD005,APAC,2025-01-01,110357.39,68
FCST00021,PROD006,LATAM,2025-01-01,117773.67,201
FCST00022,PROD006,North America,2025-01-01,140905.19,148
FCST00023,PROD006,EMEA,2025-01-01,220642.79,201
FCST00024,PROD006,APAC,2025-01-01,107416.4,242
FCST00025,PROD007,LATAM,2025-01-01,213822.43,175
FCST00026,PROD007,North America,2025-01-01,76003.98,327
FCST00027,PROD007,EMEA,2025-01-01,174497.79,339
FCST00028,PROD007,APAC,2025-01-01,180322.7,244
FCST00029,PROD008,LATAM,2025-01-01,129035.77,110
FCST00030,PROD008,North America,2025-01-01,180865.44,64
FCST00031,PROD008,EMEA,2025-01-01,66400.97,121
FCST00032,PROD008,APAC,2025-01-01,220996.65,72
FCST00033,PROD009,LATAM,2025-01-01,142353.69,279
FCST00034,PROD009,North America,2025-01-01,171389.71,323
FCST00035,PROD009,EMEA,2025-01-01,51585.36,98
FCST00036,PROD009,APAC,2025-01-01,255467.82,176
FCST00037,PROD010,LATAM,2025-01-01,204984.03,190
FCST00038,PROD010,North America,2025-01-01,143422.37,41
FCST00039,PROD010,EMEA,2025-01-01,133515.11,131
FCST00040,PROD010,APAC,2025-01-01,205005.61,192
FCST00041,PROD011,LATAM,2025-01-01,216220.79,141
FCST00042,PROD011,North America,2025-01-01,82801.55,122
FCST00043,PROD011,EMEA,2025-01-01,217084.69,311
FCST00044,PROD011,APAC,2025-01-01,47300.43,290
FCST00045,PROD012,LATAM,2025-01-01,44438.94,225
FCST00046,PROD012,North America,2025-01-01,116695.97,163
FCST00047,PROD012,EMEA,2025-01-01,225208.67,83
FCST00048,PROD012,APAC,2025-01-01,192964.08,312
FCST00049,PROD001,LATAM,2025-02-01,69575.35,283
FCST00050,PROD001,North America,2025-02-01,171063.84,310
FCST00051,PROD001,EMEA,2025-02-01,201899.5,148
FCST00052,PROD001,APAC,2025-02-01,204868.19,142
FCST00053,PROD002,LATAM,2025-02-01,124391.01,231
FCST00054,PROD002,North America,2025-02-01,183321.86,271
FCST00055,PROD002,EMEA,2025-02-01,71488.38,72
FCST00056,PROD002,APAC,2025-02-01,114510.5,323
FCST00057,PROD003,LATAM,2025-02-01,109976.72,43
FCST00058,PROD003,North America,2025-02-01,68927.0,70
FCST00059,PROD003,EMEA,2025-02-01,91598.51,56
FCST00060,PROD003,APAC,2025-02-01,114953.79,161
FCST00061,PROD004,LATAM,2025-02-01,126351.07,149
FCST00062,PROD004,North America,2025-02-01,166539.45,332
FCST00063,PROD004,EMEA,2025-02-01,197222.66,282
FCST00064,PROD004,APAC,2025-02-01,138484.41,89
FCST00065,PROD005,LATAM,2025-02-01,216059.78,256
FCST00066,PROD005,North America,2025-02-01,153396.12,67
FCST00067,PROD005,EMEA,2025-02-01,236058.51,90
FCST00068,PROD005,APAC,2025-02-01,59845.67,213
FCST00069,PROD006,LATAM,2025-02-01,68640.38,137
FCST00070,PROD006,North America,2025-02-01,185220.71,256
FCST00071,PROD006,EMEA,2025-02-01,87692.74,167
FCST00072,PROD006,APAC,2025-02-01,64517.05,321
FCST00073,PROD007,LATAM,2025-02-01,61245.81,316
FCST00074,PROD007,North America,2025-02-01,57164.26,161
FCST00075,PROD007,EMEA,2025-02-01,87189.78,286
FCST00076,PROD007,APAC,2025-02-01,114705.13,70
FCST00077,PROD008,LATAM,2025-02-01,85959.44,239
FCST00078,PROD008,North America,2025-02-01,132357.76,272
FCST00079,PROD008,EMEA,2025-02-01,118529.43,324
FCST00080,PROD008,APAC,2025-02-01,237531.26,119
FCST00081,PROD009,LATAM,2025-02-01,89843.25,69
FCST00082,PROD009,North America,2025-02-01,215092.31,71
FCST00083,PROD009,EMEA,2025-02-01,110527.39,339
FCST00084,PROD009,APAC,2025-02-01,172696.7,311
FCST00085,PROD010,LATAM,2025-02-01,74948.81,300
FCST00086,PROD010,North America,2025-02-01,74642.24,75
FCST00087,PROD010,EMEA,2025-02-01,175343.89,160
FCST00088,PROD010,APAC,2025-02-01,134187.85,331
FCST00089,PROD011,LATAM,2025-02-01,114039.01,60
FCST00090,PROD011,North America,2025-02-01,181872.17,338
FCST00091,PROD011,EMEA,2025-02-01,197519.86,173
FCST00092,PROD011,APAC,2025-02-01,105542.64,200
FCST00093,PROD012,LATAM,2025-02-01,100863.31,107
FCST00094,PROD012,North America,2025-02-01,235010.35,274
FCST00095,PROD012,EMEA,2025-02-01,147906.41,77
FCST00096,PROD012,APAC,2025-02-01,47499.55,328
FCST00097,PROD001,LATAM,2025-03-01,62249.2,149
FCST00098,PROD001,North America,2025-03-01,166515.99,218
FCST00099,PROD001,EMEA,2025-03-01,71867.65,229
FCST00100,PROD001,APAC,2025-03-01,107982.47,318
FCST00101,PROD002,LATAM,2025-03-01,130748.57,310
FCST00102,PROD002,North America,2025-03-01,50362.08,323
FCST00103,PROD002,EMEA,2025-03-01,142925.57,93
FCST00104,PROD002,APAC,2025-03-01,75172.17,94
FCST00105,PROD003,LATAM,2025-03-01,171268.22,184
FCST00106,PROD003,North America,2025-03-01,187167.65,215
FCST00107,PROD003,EMEA,2025-03-01,105933.18,175
FCST00108,PROD003,APAC,2025-03-01,179479.63,66
FCST00109,PROD004,LATAM,2025-03-01,73299.22,181
FCST00110,PROD004,North America,2025-03-01,48139.63,106
FCST00111,PROD004,EMEA,2025-03-01,248764.26,122
FCST00112,PROD004,APAC,2025-03-01,165979.14,258
FCST00113,PROD005,LATAM,2025-03-01,163845.09,78
FCST00114,PROD005,North America,2025-03-01,86598.96,229
FCST00115,PROD005,EMEA,2025-03-01,204093.32,260
FCST00116,PROD005,APAC,2025-03-01,67729.97,226
FCST00117,PROD006,LATAM,2025-03-01,63590.65,147
FCST00118,PROD006,North America,2025-03-01,208657.84,92
FCST00119,PROD006,EMEA,2025-03-01,152509.77,248
FCST00120,PROD006,APAC,2025-03-01,227917.14,161
FCST00121,PROD007,LATAM,2025-03-01,102677.82,130
FCST00122,PROD007,North America,2025-03-01,131370.12,210
FCST00123,PROD007,EMEA,2025-03-01,170474.59,167
FCST00124,PROD007,APAC,2025-03-01,103738.31,95
FCST00125,PROD008,LATAM,2025-03-01,165302.91,280
FCST00126,PROD008,North America,2025-03-01,94616.48,275
FCST00127,PROD008,EMEA,2025-03-01,129924.44,156
FCST00128,PROD008,APAC,2025-03-01,88730.07,138
FCST00129,PROD009,LATAM,2025-03-01,143226.68,75
FCST00130,PROD009,North America,2025-03-01,114137.83,300
FCST00131,PROD009,EMEA,2025-03-01,160892.29,314
FCST00132,PROD009,APAC,2025-03-01,152890.46,99
FCST00133,PROD010,LATAM,2025-03-01,103140.53,175
FCST00134,PROD010,North America,2025-03-01,48742.31,262
FCST00135,PROD010,EMEA,2025-03-01,147881.65,200
FCST00136,PROD010,APAC,2025-03-01,167375.7,301
FCST00137,PROD011,LATAM,2025-03-01,73591.38,335
FCST00138,PROD011,North America,2025-03-01,88574.89,263
FCST00139,PROD011,EMEA,2025-03-01,46423.37,315
FCST00140,PROD011,APAC,2025-03-01,202037.68,260
FCST00141,PROD012,LATAM,2025-03-01,73676.05,209
FCST00142,PROD012,North America,2025-03-01,198686.65,103
FCST00143,PROD012,EMEA,2025-03-01,125873.72,249
FCST00144,PROD012,APAC,2025-03-01,128260.27,191
FCST00145,PROD001,LATAM,2025-04-01,169779.77,255
FCST00146,PROD001,North America,2025-04-01,254466.3,129
FCST00147,PROD001,EMEA,2025-04-01,214154.12,247
FCST00148,PROD001,APAC,2025-04-01,212242.14,195
FCST00149,PROD002,LATAM,2025-04-01,110518.14,336
FCST00150,PROD002,North America,2025-04-01,217508.9,278
FCST00151,PROD002,EMEA,2025-04-01,160153.72,149
FCST00152,PROD002,APAC,2025-04-01,180102.11,126
FCST00153,PROD003,LATAM,2025-04-01,191148.21,303
FCST00154,PROD003,North America,2025-04-01,231919.11,211
FCST00155,PROD003,EMEA,2025-04-01,77823.14,160
FCST00156,PROD003,APAC,2025-04-01,210840.34,141
FCST00157,PROD004,LATAM,2025-04-01,71757.02,165
FCST00158,PROD004,North America,2025-04-01,178323.4,77
FCST00159,PROD004,EMEA,2025-04-01,162208.47,334
FCST00160,PROD004,APAC,2025-04-01,104324.59,236
FCST00161,PROD005,LATAM,2025-04-01,171435.23,115
FCST00162,PROD005,North America,2025-04-01,233670.18,94
FCST00163,PROD005,EMEA,2025-04-01,144280.02,305
FCST00164,PROD005,APAC,2025-04-01,144525.16,167
FCST00165,PROD006,LATAM,2025-04-01,76861.58,277
FCST00166,PROD006,North America,2025-04-01,225561.2,326
FCST00167,PROD006,EMEA,2025-04-01,191986.12,266
FCST00168,PROD006,APAC,2025-04-01,230059.92,298
FCST00169,PROD007,LATAM,2025-04-01,176332.29,320
FCST00170,PROD007,North America,2025-04-01,185542.11,283
FCST00171,PROD007,EMEA,2025-04-01,152476.01,166
FCST00172,PROD007,APAC,2025-04-01,199750.4,306
FCST00173,PROD008,LATAM,2025-04-01,181810.17,180
FCST00174,PROD008,North America,2025-04-01,140361.67,186
