order_id,customer_id,product_id,order_date,promised_delivery_date,actual_delivery_date,quantity,unit_price,plant_location,order_status
ORD00001,CUST006,PROD006,2025-04-16,2025-05-04,2025-05-05,37,3018.62,"San Jose, Costa Rica",Shipped
ORD00002,CUST002,PROD008,2025-01-23,2025-02-04,2025-02-04,42,720.95,"San Jose, Costa Rica",Shipped
ORD00003,CUST001,PROD009,2025-04-29,2025-05-12,2025-05-10,25,1989.32,"Santa Clara, USA",Shipped
ORD00004,CUST015,PROD001,2025-02-22,2025-03-05,2025-03-07,17,3346.13,"San Jose, Costa Rica",Shipped
ORD00005,CUST016,PROD002,2025-01-08,2025-01-25,2025-01-27,31,880.72,"Alajuela, Costa Rica",Shipped
ORD00006,CUST018,PROD007,2025-01-24,2025-02-03,,15,3291.93,"Alajuela, Costa Rica",Open
ORD00007,CUST016,PROD005,2025-05-11,2025-05-29,2025-05-29,54,3542.42,"Alajuela, Costa Rica",Cancelled
ORD00008,CUST015,PROD009,2025-02-07,2025-02-20,,66,2280.46,"Alajuela, Costa Rica",Open
ORD00009,CUST009,PROD007,2025-03-29,2025-04-19,,65,2865.54,"San Jose, Costa Rica",Open
ORD00010,CUST010,PROD010,2025-05-29,2025-06-15,2025-06-16,20,761.97,"Santa Clara, USA",Shipped
ORD00011,CUST018,PROD009,2025-04-07,2025-04-21,2025-04-21,25,2580.07,"Santa Clara, USA",Shipped
ORD00012,CUST008,PROD007,2025-01-12,2025-01-24,2025-01-29,61,3826.96,"Santa Clara, USA",Shipped
ORD00013,CUST005,PROD008,2025-01-10,2025-01-19,2025-01-21,43,1191.71,"Santa Clara, USA",Shipped
ORD00014,CUST004,PROD009,2025-04-27,2025-05-04,2025-05-09,19,1850.74,"Alajuela, Costa Rica",Shipped
ORD00015,CUST003,PROD008,2025-03-09,2025-03-21,2025-03-23,51,1054.4,"San Jose, Costa Rica",Shipped
ORD00016,CUST018,PROD007,2025-03-23,2025-04-09,,63,4193.83,"Alajuela, Costa Rica",Open
ORD00017,CUST008,PROD005,2025-02-28,2025-03-18,2025-03-16,56,3814.02,"San Jose, Costa Rica",Shipped
ORD00018,CUST004,PROD008,2025-02-12,2025-03-02,2025-03-02,4,677.28,"Santa Clara, USA",Shipped
ORD00019,CUST012,PROD006,2025-04-21,2025-04-30,2025-04-29,68,2574.03,"Alajuela, Costa Rica",Shipped
ORD00020,CUST006,PROD003,2025-01-21,2025-02-06,2025-02-14,49,1643.75,"San Jose, Costa Rica",Shipped
ORD00021,CUST005,PROD004,2025-04-29,2025-05-16,,59,1151.82,"Santa Clara, USA",Open
ORD00022,CUST010,PROD009,2025-02-10,2025-02-18,2025-02-19,45,2588.85,"Santa Clara, USA",Shipped
ORD00023,CUST009,PROD008,2025-03-19,2025-03-29,2025-03-30,62,715.16,"Santa Clara, USA",Shipped
ORD00024,CUST019,PROD005,2025-03-17,2025-03-24,2025-04-01,51,2482.93,"San Jose, Costa Rica",Shipped
ORD00025,CUST002,PROD010,2025-05-08,2025-05-28,2025-05-28,30,844.34,"San Jose, Costa Rica",Shipped
ORD00026,CUST007,PROD010,2025-03-06,2025-03-23,2025-03-31,18,855.21,"San Jose, Costa Rica",Cancelled
ORD00027,CUST002,PROD005,2025-04-23,2025-04-30,,47,3348.84,"Santa Clara, USA",Open
ORD00028,CUST011,PROD007,2025-02-14,2025-02-24,2025-02-23,70,4202.78,"San Jose, Costa Rica",Shipped
ORD00029,CUST009,PROD003,2025-03-07,2025-03-28,2025-04-05,62,1988.4,"Santa Clara, USA",Shipped
ORD00030,CUST004,PROD008,2025-01-20,2025-01-29,2025-02-06,29,1185.74,"Santa Clara, USA",Shipped
ORD00031,CUST018,PROD006,2025-01-24,2025-02-12,,2,2312.12,"Santa Clara, USA",Open
ORD00032,CUST009,PROD010,2025-04-08,2025-04-28,2025-05-03,48,588.44,"Alajuela, Costa Rica",Shipped
ORD00033,CUST020,PROD009,2025-03-25,2025-04-15,2025-04-17,29,2154.42,"Santa Clara, USA",Shipped
ORD00034,CUST010,PROD007,2025-01-30,2025-02-08,2025-02-06,5,2947.17,"Alajuela, Costa Rica",Shipped
ORD00035,CUST008,PROD009,2025-02-04,2025-02-17,2025-02-18,48,2183.6,"San Jose, Costa Rica",Shipped
ORD00036,CUST014,PROD010,2025-02-09,2025-03-02,2025-03-03,13,960.62,"Santa Clara, USA",Shipped
ORD00037,CUST002,PROD006,2025-02-25,2025-03-11,,31,3360.87,"San Jose, Costa Rica",Open
ORD00038,CUST012,PROD009,2025-06-15,2025-06-27,2025-06-25,51,1679.39,"Santa Clara, USA",Cancelled
ORD00039,CUST003,PROD004,2025-06-14,2025-07-01,2025-07-03,3,969.54,"Alajuela, Costa Rica",Shipped
ORD00040,CUST019,PROD004,2025-01-18,2025-02-07,2025-02-15,71,1108.93,"Alajuela, Costa Rica",Shipped
ORD00041,CUST011,PROD003,2025-06-02,2025-06-09,2025-06-09,19,2008.37,"Alajuela, Costa Rica",Shipped
ORD00042,CUST004,PROD001,2025-02-03,2025-02-10,,31,2769.5,"Santa Clara, USA",Open
ORD00043,CUST002,PROD003,2025-04-18,2025-05-03,2025-05-01,9,1501.53,"San Jose, Costa Rica",Shipped
ORD00044,CUST019,PROD002,2025-04-26,2025-05-11,2025-05-10,6,889.52,"San Jose, Costa Rica",Cancelled
ORD00045,CUST017,PROD005,2025-04-28,2025-05-15,2025-05-13,8,3852.31,"Santa Clara, USA",Shipped
ORD00046,CUST004,PROD008,2025-04-24,2025-05-02,,42,1028.46,"Santa Clara, USA",Open
ORD00047,CUST020,PROD010,2025-05-21,2025-06-08,2025-06-08,49,1043.2,"Santa Clara, USA",Shipped
ORD00048,CUST017,PROD010,2025-04-21,2025-04-29,2025-05-07,15,970.42,"San Jose, Costa Rica",Shipped
ORD00049,CUST007,PROD007,2025-04-26,2025-05-17,2025-05-16,53,3023.04,"Santa Clara, USA",Shipped
ORD00050,CUST004,PROD006,2025-04-20,2025-05-02,,33,2507.04,"Santa Clara, USA",Open
ORD00051,CUST003,PROD002,2025-01-22,2025-01-30,2025-01-31,13,898.26,"Alajuela, Costa Rica",Shipped
ORD00052,CUST018,PROD001,2025-05-31,2025-06-15,2025-06-17,43,2907.62,"San Jose, Costa Rica",Shipped
ORD00053,CUST014,PROD001,2025-03-15,2025-03-31,2025-03-31,46,1943.65,"Alajuela, Costa Rica",Shipped
ORD00054,CUST016,PROD004,2025-01-28,2025-02-09,2025-02-17,72,1251.73,"San Jose, Costa Rica",Shipped
ORD00055,CUST008,PROD007,2025-05-24,2025-06-12,2025-06-20,72,2336.79,"San Jose, Costa Rica",Cancelled
ORD00056,CUST009,PROD001,2025-02-16,2025-02-27,2025-03-04,40,3335.69,"Alajuela, Costa Rica",Shipped
ORD00057,CUST005,PROD010,2025-06-18,2025-07-01,2025-06-29,19,913.04,"Alajuela, Costa Rica",Cancelled
ORD00058,CUST017,PROD004,2025-04-07,2025-04-20,2025-04-21,44,1064.64,"Santa Clara, USA",Shipped
ORD00059,CUST019,PROD010,2025-01-22,2025-02-12,2025-02-10,20,613.61,"San Jose, Costa Rica",Shipped
ORD00060,CUST003,PROD005,2025-04-24,2025-05-11,2025-05-12,63,3111.91,"Alajuela, Costa Rica",Shipped
ORD00061,CUST017,PROD002,2025-03-30,2025-04-12,2025-04-10,37,864.82,"San Jose, Costa Rica",Shipped
ORD00062,CUST010,PROD001,2025-02-26,2025-03-11,2025-03-13,8,1780.42,"Alajuela, Costa Rica",Shipped
ORD00063,CUST005,PROD005,2025-03-16,2025-03-28,2025-03-26,1,2904.48,"Alajuela, Costa Rica",Shipped
ORD00064,CUST013,PROD009,2025-02-28,2025-03-15,2025-03-17,46,1418.98,"Alajuela, Costa Rica",Shipped
